,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
366,gdov,98,RU,1663048138,85,58.7406,27.8122,10.46,3.77
367,bayir,0,TR,1663048139,58,37.2687,28.2167,20.29,2.86
368,sheltozero,100,RU,1663048139,73,61.3667,35.3667,10.6,3.9
369,anadyr,20,RU,1663048040,81,64.75,177.4833,9.28,3.0
370,karabuk,15,TR,1663047930,80,41.2049,32.6277,17.59,0.3
371,odweyne,56,SO,1663048140,41,9.4092,45.064,26.55,10.15
372,buraydah,0,SA,1663047913,9,26.326,43.975,29.25,3.2
373,manacapuru,28,BR,1663047962,79,-3.2997,-60.6206,24.45,2.36
374,wahiawa,0,US,1663048142,67,21.5028,-158.0236,25.18,3.09
375,lompoc,100,US,1663047568,90,34.6391,-120.4579,19.76,3.6
376,la ronge,40,CA,1663048143,76,55.1001,-105.2842,8.14,1.03
377,saschiz,23,RO,1663048144,72,46.1833,24.9667,11.28,2.25
378,iqaluit,100,CA,1663048001,93,63.7506,-68.5145,5.85,5.66
379,lorengau,8,PG,1663048011,62,-2.0226,147.2712,28.98,5.01
380,aden,17,YE,1663047973,62,12.7794,45.0367,32.43,1.14
381,norman wells,75,CA,1663047552,58,65.282,-126.8329,12.02,2.57
382,vao,100,NC,1663048146,80,-22.6667,167.4833,22.96,6.32
383,emerald,0,AU,1663048066,39,-23.5333,148.1667,24.63,4.55
384,chor,78,PK,1663047947,46,25.5167,69.7667,34.47,5.12
385,laguna de perlas,91,NI,1663048147,85,12.3429,-83.6712,26.31,2.68
386,tilichiki,100,RU,1663048035,79,60.4667,166.1,8.13,0.66
387,karatsu,100,JP,1663048148,25,33.4425,129.9697,32.92,3.58
388,gewane,27,ET,1663048149,41,10.1664,40.6453,31.09,6.44
389,lata,88,PT,1663048144,85,40.1629,-8.3327,18.93,4.77
390,dong hoi,8,VN,1663048150,71,17.4833,106.6,29.82,3.0
391,sarangani,29,PH,1663048150,69,5.4033,125.4636,29.15,4.02
392,sorland,99,NO,1663047982,76,67.667,12.6934,10.92,9.77
393,kayerkan,100,RU,1663047644,100,69.3497,87.7602,1.96,6.92
394,mercedes,0,AR,1663048151,86,-34.6515,-59.4307,7.14,1.76
395,mocuba,2,MZ,1663048152,52,-16.8392,36.9856,25.23,2.46
396,ingham,100,US,1663048152,93,42.6,-84.3833,11.17,0.0
397,coquimbo,100,CL,1663048054,82,-29.9533,-71.3436,12.85,2.06
398,arivonimamo,3,MG,1663048152,39,-19.0167,47.1833,15.03,1.56
399,hambantota,20,LK,1663048153,62,6.1241,81.1185,32.19,6.17
400,hirara,75,JP,1663047496,83,24.8,125.2833,27.15,11.32
401,palmer,100,US,1663048153,93,42.1584,-72.3287,20.66,0.0
402,bucerias,94,MX,1663048154,89,20.75,-105.3333,26.1,1.14
403,dudinka,99,RU,1663048154,72,69.4058,86.1778,2.57,5.97
404,saint-francois,0,FR,1663048155,88,46.4154,3.9054,16.49,1.03
405,whitehorse,75,CA,1663048070,50,60.7161,-135.0538,12.43,5.66
406,santo tomas,100,PH,1663048155,64,14.1079,121.1414,31.42,4.84
407,broken hill,56,AU,1663048133,33,-31.95,141.4333,20.39,3.58
408,klyuchi,57,RU,1663048156,41,52.2667,79.1667,12.71,3.53
409,labuhan,6,ID,1663048157,58,-6.8844,112.2051,31.5,4.7
410,ouango,99,CF,1663048157,95,4.3133,22.5552,22.0,0.78
411,galveston,0,US,1663048157,82,29.3669,-94.9669,27.2,2.57
412,adrar,88,MR,1663047619,33,20.5022,-10.0711,32.8,4.67
413,iskateley,100,RU,1663048158,93,67.6803,53.1512,7.25,4.87
414,kozova,100,UA,1663048158,96,49.4354,25.1509,9.1,4.26
415,comodoro rivadavia,0,AR,1663048154,80,-45.8667,-67.5,1.92,2.57
416,luanda,100,AO,1663047534,88,-8.8368,13.2343,22.0,1.03
417,houma,40,US,1663047625,87,29.5958,-90.7195,24.0,2.06
418,dibulla,100,CO,1663048160,85,11.2725,-73.3091,24.96,2.27
419,stephenville,0,US,1663048160,62,32.2207,-98.2023,22.44,2.06
420,gorontalo,36,ID,1663048161,69,0.5412,123.0595,29.87,2.85
421,sokoni,54,TZ,1663048162,78,-6.4333,39.55,23.92,4.65
422,fukue,75,JP,1663048162,62,32.6881,128.8419,31.2,4.63
423,dakar,100,SN,1663047535,79,14.6937,-17.4441,28.19,6.88
424,vung tau,12,VN,1663047881,73,10.346,107.0843,28.96,3.43
425,providencia,2,MX,1663048163,59,28.7167,-111.5833,29.72,3.01
426,biltine,99,TD,1663047639,59,14.5333,20.9167,26.87,3.65
427,camacha,40,PT,1663048164,83,33.0833,-16.3333,20.68,5.66
428,belyy yar,40,RU,1663048127,62,53.6039,91.3903,11.94,2.0
429,scottsbluff,0,US,1663048165,38,41.8666,-103.6672,19.62,5.14
430,port-gentil,95,GA,1663048165,79,-0.7193,8.7815,24.59,3.94
431,marawi,61,PH,1663048166,80,7.9986,124.2928,25.62,1.17
432,madang,20,PG,1663047575,67,-5.2246,145.7966,29.38,4.55
433,plettenberg bay,1,ZA,1663047932,57,-34.0527,23.3716,13.8,2.08
434,pangnirtung,100,CA,1663048167,76,66.1451,-65.7125,6.68,4.62
435,ocampo,80,MX,1663048168,80,21.65,-101.5,12.11,4.72
436,inuvik,20,CA,1663048168,90,68.3499,-133.7218,5.48,5.14
437,milkovo,100,RU,1663048168,55,54.7167,158.6167,13.87,1.67
438,simplicio mendes,3,BR,1663048169,51,-7.8539,-41.9103,23.14,4.62
439,cruzeiro do sul,89,BR,1663048170,91,-29.5128,-51.9853,16.96,0.72
440,coos bay,100,US,1663047883,96,43.3665,-124.2179,14.99,0.0
441,bulaevo,70,KZ,1663048170,44,54.9056,70.4439,13.11,1.92
442,del rio,0,US,1663048170,66,29.3627,-100.8968,26.06,2.57
443,general pico,5,AR,1663048171,51,-35.6566,-63.7568,7.82,3.2
444,hovd,91,MN,1663048171,22,48.0056,91.6419,15.53,3.77
445,usinsk,100,RU,1663048172,94,65.9939,57.5281,7.0,4.57
446,wichita falls,0,US,1663048173,62,33.9137,-98.4934,22.92,2.57
447,constantine,23,DZ,1663048173,27,36.365,6.6147,26.97,2.14
448,buin,88,CL,1663048174,81,-33.7333,-70.75,11.52,0.72
449,dauphin,0,CA,1663048174,81,51.1494,-100.0502,6.08,2.06
450,proletarskiy,100,RU,1663048174,93,50.7914,35.7731,9.53,4.93
451,wanning,8,CN,1663048176,63,18.8003,110.3967,30.98,2.5
452,kanniyakumari,9,IN,1663048179,71,8.0833,77.5667,28.43,8.42
453,mariakani,33,KE,1663048180,62,-3.8633,39.4736,23.05,4.96
454,riyadh,0,SA,1663047922,8,24.6877,46.7219,34.08,4.59
455,virginia beach,75,US,1663048180,91,36.8529,-75.978,26.12,2.06
456,aragarcas,29,BR,1663048180,27,-15.8975,-52.2508,26.17,2.12
457,geraldton,75,AU,1663047992,77,-28.7667,114.6,18.23,9.77
458,beyneu,9,KZ,1663047637,29,45.3167,55.2,21.19,10.58
459,meulaboh,65,ID,1663047945,65,4.1363,96.1285,29.45,2.97
460,galle,77,LK,1663048181,75,6.0367,80.217,27.85,4.27
461,valdemarpils,97,LV,1663048182,85,57.3707,22.5919,8.84,3.42
462,newport,100,GB,1663048183,81,51.5877,-2.9984,15.9,6.29
463,acari,72,PE,1663048183,80,-15.4311,-74.6158,16.14,2.25
464,severnoye,92,RU,1663048184,45,56.3491,78.3619,10.91,1.49
465,muravlenko,100,RU,1663048185,65,63.7898,74.523,10.12,9.11
466,loralai,1,PK,1663048185,39,30.3705,68.598,26.6,1.18
467,namibe,50,AO,1663048186,87,-15.1961,12.1522,17.89,0.53
468,clinton,40,US,1663048186,87,42.587,-82.9199,17.01,0.0
469,sarahan,1,IN,1663048186,62,31.5167,77.8,22.03,3.38
470,asuncion,0,PY,1663047991,71,-25.3007,-57.6359,12.72,2.57
471,vardo,100,NO,1663047616,87,70.3705,31.1107,5.99,6.69
472,talcahuano,85,CL,1663047944,93,-36.7167,-73.1167,6.82,1.54
473,cairns,4,AU,1663048187,65,-16.9167,145.7667,31.15,7.2
474,dolores,3,AR,1663048188,90,-36.3132,-57.6792,7.33,1.23
475,zhigansk,100,RU,1663048188,88,66.7697,123.3711,6.45,4.02
476,ziarat,0,PK,1663048189,23,30.3823,67.7282,21.26,1.75
477,xinpu,49,CN,1663048190,72,34.5997,119.1594,25.37,7.42
478,kloulklubed,71,PW,1663047627,71,7.0419,134.2556,30.28,4.05
479,aykhal,100,RU,1663047605,72,66.0,111.5,3.7,5.67
480,suntar,100,RU,1663048190,95,62.1444,117.6319,8.01,2.16
481,tunkas,100,MX,1663048191,97,20.9,-88.75,23.27,1.24
482,duluth,100,US,1663048192,83,46.7833,-92.1066,16.31,2.57
483,novopavlovka,96,RU,1663048192,39,51.2172,109.2091,17.53,4.77
484,diplo,80,PK,1663048192,50,24.4667,69.584,34.19,3.32
485,shetpe,0,KZ,1663048192,22,44.1667,52.1167,20.72,12.25
486,achutupo,96,PA,1663048193,89,9.2,-77.9833,24.93,2.31
487,skegness,72,GB,1663048193,76,53.1436,0.3363,12.97,3.97
488,tocopilla,44,CL,1663047597,71,-22.092,-70.1979,13.81,2.44
489,srednekolymsk,100,RU,1663048195,80,67.45,153.6833,5.23,3.36
490,huarmey,74,PE,1663047965,85,-10.0681,-78.1522,15.57,5.21
491,mersing,40,MY,1663048196,74,2.4312,103.8405,31.95,2.57
492,lakes entrance,41,AU,1663048196,50,-37.8811,147.981,12.31,3.4
493,nagod,99,IN,1663048038,82,24.5667,80.6,26.35,4.13
494,geghamasar,0,AM,1663048196,34,40.3109,45.6792,19.17,0.56
495,bonfim,93,BR,1663048197,91,3.0833,-59.95,23.3,1.75
496,la palma,0,US,1663048197,72,33.8464,-118.0467,25.83,2.57
497,saint-denis,0,FR,1663048198,74,48.9167,2.3333,19.88,3.6
498,karratha,46,AU,1663047644,49,-20.7377,116.8463,26.37,7.28
499,nhulunbuy,75,AU,1663048124,62,-12.2333,136.7667,30.34,7.2
500,gazanjyk,0,TM,1663047984,15,39.2446,55.5154,24.63,10.0
501,faya,76,SA,1663048083,18,18.3851,42.4509,23.06,3.73
502,los llanos de aridane,0,ES,1663047986,82,28.6585,-17.9182,20.86,3.13
503,eydhafushi,8,MV,1663048008,74,5.1033,73.0708,27.41,3.46
504,pangody,100,RU,1663048201,90,65.85,74.4859,6.98,6.39
505,bulungu,38,CD,1663048202,76,-4.55,18.6,24.22,1.0
506,enterprise,100,US,1663048203,48,36.0252,-115.2419,27.61,3.09
507,nanortalik,78,GL,1663048204,96,60.1432,-45.2371,5.44,3.3
508,muros,68,ES,1663048105,93,42.7762,-9.0603,19.82,6.81
509,skjervoy,46,NO,1663047956,72,70.0311,20.9714,7.0,2.92
510,sar-e pul,0,AF,1663048205,22,35.8333,66.1667,20.47,2.6
511,ust-maya,99,RU,1663048205,40,60.4167,134.5333,14.27,4.63
512,sheridan,0,US,1663048206,71,44.8333,-106.9173,13.21,2.06
513,alpena,100,US,1663048207,91,45.0617,-83.4327,17.18,2.06
514,peniche,74,PT,1663048207,93,39.3558,-9.3811,20.16,10.41
515,vila do maio,100,CV,1663048162,85,15.1333,-23.2167,26.28,7.18
516,alofi,4,NU,1663048155,73,-19.0595,-169.9187,24.94,4.12
517,namtsy,100,RU,1663048208,46,62.7161,129.6658,13.79,6.43
518,barcelos,90,PT,1663048209,86,41.5388,-8.6151,20.47,6.26
519,port augusta,46,AU,1663048209,26,-32.5,137.7667,24.46,6.11
520,dwarka,100,IN,1663048210,89,22.2394,68.9678,26.08,4.36
521,robertsport,75,LR,1663048210,83,6.7533,-11.3686,24.93,4.26
522,chatellerault,100,FR,1663048212,1,46.8,0.5333,21.42,2.18
523,jingdezhen,2,CN,1663048213,31,29.2947,117.2079,33.87,3.97
524,uruacu,63,BR,1663048213,25,-14.5247,-49.1408,25.58,0.94
525,kantunil,100,MX,1663048214,98,20.8,-89.0333,22.12,1.52
526,stepnyak,50,KZ,1663048214,46,52.8339,70.7803,11.66,1.55
527,udachnyy,99,RU,1663048214,93,66.4167,112.4,4.14,5.07
528,champerico,94,GT,1663048215,84,14.3,-91.9167,25.81,1.53
529,leningradskiy,95,RU,1663048215,87,69.3833,178.4167,3.56,3.57
530,linares,99,CL,1663048216,85,-35.85,-71.6,9.08,1.17
531,bereznik,100,RU,1663048216,68,62.8551,42.7072,11.51,3.41
532,port shepstone,96,ZA,1663048217,69,-30.7414,30.455,17.38,2.61
533,seymchan,100,RU,1663048218,72,62.8833,152.4333,5.09,5.38
534,zyryanskoye,60,RU,1663048219,49,56.8306,86.6258,10.38,2.27
535,roros,75,NO,1663048219,93,62.5747,11.3842,9.91,4.63
536,te anau,95,NZ,1663048213,89,-45.4167,167.7167,2.39,4.05
537,calama,4,CL,1663048220,26,-22.4667,-68.9333,5.27,5.14
538,ola,56,RU,1663048221,51,59.5833,151.2833,13.97,5.96
539,nome,100,US,1663048075,87,64.5011,-165.4064,11.04,3.09
540,okhotsk,0,RU,1663048206,41,59.3833,143.3,13.14,5.11
541,ivaipora,93,BR,1663048222,98,-24.2478,-51.6847,17.15,1.57
