,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
83,thompson,20,CA,1663048012,93,55.7435,-97.8558,3.09,2.06
84,hokitika,98,NZ,1663048013,74,-42.7167,170.9667,8.93,5.68
85,jardim,98,BR,1663047885,67,-21.4803,-56.1381,20.47,2.11
86,fortuna,100,US,1663047439,93,40.5982,-124.1573,13.7,0.0
87,chalmette,0,US,1663047923,77,29.9427,-89.9634,26.99,6.69
88,carnarvon,45,AU,1663047482,50,-24.8667,113.6333,21.15,7.58
89,southbridge,92,US,1663047464,98,42.0751,-72.0334,20.52,1.14
90,ahipara,36,NZ,1663047550,85,-35.1667,173.1667,14.46,5.46
91,vaini,20,TO,1663047986,83,-21.2,-175.2,26.09,3.6
92,mikhaylovka,100,RU,1663048000,81,50.06,43.2379,10.99,9.57
93,chapais,100,CA,1663047621,75,49.7834,-74.8492,13.88,1.43
94,vilhena,93,BR,1663047460,47,-12.7406,-60.1458,24.52,0.74
95,avarua,20,CK,1663048016,78,-21.2078,-159.775,24.03,3.6
96,lamar,0,US,1663048016,63,33.6668,-95.5836,19.8,1.54
97,qandala,77,SO,1663048017,47,11.472,49.8728,34.0,0.84
98,yar-sale,100,RU,1663048017,84,66.8333,70.8333,5.22,2.6
99,vierzon,100,FR,1663048018,68,47.2101,2.0625,22.21,2.31
100,mahajanga,0,MG,1663048018,47,-15.7167,46.3167,27.01,5.66
101,puerto ayora,98,EC,1663047442,99,-0.7393,-90.3518,18.08,0.45
102,bintulu,40,MY,1663048019,66,3.1667,113.0333,32.23,3.09
103,stornoway,75,GB,1663047448,86,58.2093,-6.3865,11.98,3.6
104,tarakan,10,ID,1663047566,69,3.3,117.6333,28.37,3.34
105,kapaa,40,US,1663047421,81,22.0752,-159.319,27.99,6.17
106,kodiak,0,US,1663047457,71,57.79,-152.4072,11.73,2.06
107,tahoua,36,NE,1663048021,63,14.8888,5.2692,27.94,3.24
108,sitka,100,US,1663047440,77,57.0531,-135.33,13.94,3.09
109,boende,94,CD,1663048022,89,-0.2167,20.8667,23.69,0.37
110,pochinki,96,RU,1663048023,48,54.6988,44.8668,13.27,6.27
111,mwinilunga,28,ZM,1663048024,25,-11.7358,24.4293,22.73,3.66
112,nouakchott,82,MR,1663048024,79,18.0858,-15.9785,27.99,2.88
113,castro,98,BR,1663047532,99,-24.7911,-50.0119,14.23,1.12
114,tocache,72,PE,1663047953,83,-8.1842,-76.5125,22.02,0.24
115,sao joao da barra,100,BR,1663047505,91,-21.6403,-41.0511,21.04,3.67
116,hervey bay,0,AU,1663047557,63,-25.2986,152.8535,20.3,6.94
117,evensk,86,RU,1663047784,64,61.95,159.2333,10.49,0.4
118,east london,0,ZA,1663048026,62,-33.0153,27.9116,13.52,3.09
119,barletta,1,IT,1663048027,48,41.3118,16.2908,20.15,2.68
120,esso,100,RU,1663048027,67,55.9333,158.7,9.69,1.31
121,sakakah,0,SA,1663048028,14,29.9697,40.2064,26.76,4.33
122,beckley,0,US,1663048028,98,37.7782,-81.1882,12.59,1.54
123,upernavik,100,GL,1663048029,96,72.7868,-56.1549,4.42,0.66
124,tessalit,8,ML,1663047445,16,20.1986,1.0114,30.57,3.04
125,kruisfontein,4,ZA,1663047436,59,-34.0033,24.7314,12.31,3.15
126,new norfolk,89,AU,1663047432,52,-42.7826,147.0587,11.07,0.89
127,padang,100,ID,1663048030,86,-0.9492,100.3543,28.03,1.02
128,kavieng,69,PG,1663047498,68,-2.5744,150.7967,29.11,5.33
129,tuktoyaktuk,100,CA,1663048032,93,69.4541,-133.0374,1.0,6.17
130,abu dhabi,10,AE,1663047898,85,24.4667,54.3667,32.06,2.57
131,ust-koksa,47,RU,1663048033,55,50.2696,85.6108,12.36,2.05
132,victoria,1,HK,1663047359,46,22.2855,114.1577,37.88,4.02
133,kenai,100,US,1663047632,93,60.5544,-151.2583,10.61,4.12
134,ishigaki,75,JP,1663048035,83,24.3448,124.1572,27.07,10.29
135,manicore,0,BR,1663048036,94,-5.8092,-61.3003,23.97,0.51
136,gulu,98,UG,1663048013,89,2.7746,32.299,20.46,1.79
137,nishihara,75,JP,1663047572,77,26.1842,127.7558,31.6,9.26
